id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
30oTS7bm0aH3p7lqjEIu8q,0.875,0.745,-5.878,0.269,0.0227,2.37e-06,0.287,0.749,95.201,217440
0FzxHygj55RdtuNhmSyGe5,0.805,0.801,-5.683,0.279,0.0329,0.0,0.0603,0.816,92.638,176267
1fotoYONO343JjbC8XvPSl,0.532,0.819,-5.282,0.256,0.0157,0.0,0.371,0.594,90.215,247333
2EwS2VaAsnGrwMkpJaIjug,0.947,0.488,-15.672,0.131,0.0829,6.58e-05,0.0765,0.829,117.558,262400
0b6Wy18SZmASFY3tTmImlp,0.892,0.673,-13.583,0.114,0.0629,2.88e-06,0.0771,0.747,116.801,241633
3XB0F5lxqPPCQuiDbxjApq,0.871,0.476,-14.729,0.301,0.0663,8.3e-06,0.111,0.715,95.51,254955
1uNYPqgrxPrvujVMnVDjna,0.918,0.417,-12.754,0.148,0.103,0.0,0.316,0.76,102.604,239267
3NG0geuFwCSj8FbCiP8MHW,0.934,0.495,-7.483,0.346,0.0544,0.0,0.0934,0.836,101.781,221200
4gXFUhyu4fzOgmV28BiJ9s,0.86,0.85,-2.975,0.18,0.00748,0.000893,0.264,0.65,95.002,257507
1RjU7UhRICmdFPKxCucLgq,0.875,0.658,-3.641,0.359,0.275,0.0,0.122,0.661,92.038,274093
0dNiLb9FEHrRK7VFDJctiR,0.836,0.728,-12.058,0.234,0.00569,0.000819,0.0649,0.599,100.842,319907
1YrHyDbH17btvI2rFTkbCQ,0.863,0.771,-2.77,0.19,0.00954,0.0,0.288,0.812,95.029,234733
5EEOjaJyWvfMglmEwf9bG3,0.832,0.588,-10.88,0.248,0.4,0.0,0.104,0.716,95.309,250868
1fb6b2Mas9q2mWxJazzeRI,0.591,0.892,-6.114,0.293,0.0944,0.0,0.113,0.712,89.849,213333
2vAy4rjU4vMuNDj6l7WQH8,0.832,0.673,-10.033,0.335,0.117,0.00455,0.131,0.363,106.581,291733
2rQDtzREtofoyhDNYk95jf,0.866,0.534,-10.407,0.321,0.0838,0.0,0.0848,0.619,98.852,221093
1ZvhmUmU6zeoo1oNKwBYgf,0.578,0.819,-7.636,0.312,0.24,0.0,0.774,0.755,173.84,273427
2cq69jrDBC5gqKh6HvzwUG,0.677,0.911,-3.158,0.22,0.141,0.0,0.0582,0.85,143.047,244062
7CaPihl9eHCiaUgiSewmz9,0.494,0.724,-6.593,0.087,0.00718,3.48e-06,0.322,0.494,90.894,218973
1Wu1jH8boVjMCfuyNn7Ep3,0.932,0.475,-9.35,0.304,0.0138,0.0,0.103,0.74,99.138,249373
1XvHiCTd0MDb16S8bQNl74,0.546,0.796,-3.263,0.0639,0.0909,2.73e-05,0.19,0.254,142.123,299613
2RUFzxyUlI36KKy9Agkqze,0.539,0.907,-4.757,0.13,0.0193,0.0,0.825,0.553,154.0,292093
53gcDgFyqqpvCzXWrnFZpH,0.79,0.647,-5.983,0.136,0.0515,0.0,0.248,0.654,87.999,211000
5ms35iZF8uOH31RHwuiY7H,0.439,0.808,-6.881,0.346,0.00305,0.0,0.439,0.487,82.962,207000
08IrLUx06jBA1Hv8kuAIw2,0.617,0.717,-7.858,0.153,0.00564,0.0,0.408,0.49,103.992,311867
5XJJdNPkwmbUwE79gv0NxK,0.646,0.696,-5.572,0.342,0.0192,0.0,0.0762,0.625,92.88,207401
2rT6jwkyUcz6cmDWZGbGjC,0.507,0.753,-5.31,0.19,0.503,0.0,0.573,0.657,178.068,324227
79ek2oolIYyGUO4aVK5IY2,0.637,0.834,-4.686,0.323,0.614,0.0,0.317,0.715,87.312,193733
06TqBu4Vi2DEu2F2wNTEnb,0.459,0.816,-4.872,0.403,0.423,0.0,0.169,0.643,80.293,324440
537JuqEKrssl7OlRF5wlKx,0.704,0.792,-4.831,0.198,0.00981,0.0,0.365,0.646,118.022,322800
5WmxGs0hBmoo9bcGlY0twV,0.384,0.787,-5.861,0.336,0.142,2.79e-05,0.39,0.544,84.85,204707
32cQeY533XTAc4L6fzcIgG,0.356,0.718,-7.739,0.135,0.0631,2.85e-05,0.346,0.144,99.561,277206
3QXackOVhioop7C1VaaSp7,0.841,0.597,-9.086,0.277,0.0934,0.0,0.113,0.707,92.031,198120
4eqFO0IoNpksEoZ6ew7Cc8,0.707,0.562,-10.048,0.145,0.752,0.0033,0.121,0.644,94.007,244947
7FrmBo8y6vtTvPSzA0Rfsd,0.706,0.829,-8.05,0.0781,0.305,1.39e-06,0.132,0.823,88.018,237774
3EbAqNMTLKcSSzqrzb7EV2,0.771,0.857,-5.816,0.394,0.0958,2.06e-05,0.0576,0.714,90.546,208227
4ImIXpXMd8DQpIfhMq0fAo,0.623,0.894,-4.914,0.3,0.309,2e-05,0.358,0.234,92.054,195107
7jB1bevUBsL1pPbVYjunLi,0.585,0.946,-2.855,0.341,0.479,0.0,0.137,0.655,93.444,205200
0ZGrDUHz1U5E3czrlB5Fn0,0.632,0.225,-19.322,0.612,0.826,1.69e-06,0.271,0.413,90.637,412973
3glqlA5qY3bbo8UaUDGPnw,0.739,0.639,-6.959,0.358,0.000918,2.74e-05,0.352,0.323,91.121,338187
6bUNEbXT7HovLW6BgPCBsb,0.751,0.708,-5.653,0.0545,0.0482,1.85e-05,0.107,0.509,108.97,369573
0RFD2RGJWvSOtow1R2Wmyz,0.756,0.747,-9.578,0.353,0.195,0.0,0.359,0.216,91.012,220333
62TOLgLUJwnmcyCkC40WeS,0.564,0.652,-7.26,0.472,0.137,0.0,0.215,0.58,108.164,188427
